# {"t_start": 1546767752.8316886, "env_id": "Pap-v0"} 
r,l,t
22.821101,100,81.473648
23.163792,100,81.576574
22.947044,100,81.6815
25.0854,100,81.783428
23.05073,100,81.894353
27.145393,100,82.001275
22.318307,100,82.103204
23.061018,100,82.205132
22.998655,100,82.302063
20.623303,100,82.398994
22.267642,100,82.495927
22.345049,100,82.592858
22.042181,100,84.111791
26.354586,100,84.210721
27.607429,100,84.308652
26.842187,100,84.406582
25.987037,100,84.503515
25.743049,100,84.601445
26.941389,100,84.701375
25.887703,100,84.801304
22.917679,100,84.901234
24.407446,100,84.999166
22.238294,100,85.097097
23.720704,100,85.195027
23.197607,100,85.291958
28.168724,100,85.39089
27.91956,100,85.488822
28.115567,100,85.585753
27.207833,100,85.682685
27.54545,100,85.780616
24.288472,100,85.879544
24.304881,100,85.976478
21.147013,100,86.07341
26.740599,100,87.581348
27.668468,100,87.679278
24.667519,100,87.778209
26.185796,100,87.87614
21.974705,100,87.973071
22.667981,100,88.070003
27.264474,100,88.168936
25.705531,100,88.264866
28.561133,100,88.363797
24.86654,100,88.462726
29.044221,100,88.560659
25.689306,100,88.657589
25.427084,100,88.754521
20.527952,100,88.852454
24.928758,100,88.951384
24.438721,100,89.048316
24.180906,100,89.146246
22.500832,100,89.243177
28.784569,100,89.342108
26.022374,100,89.43904
28.289169,100,90.947977
23.792207,100,91.062896
25.120526,100,91.164825
29.814126,100,91.262757
28.897879,100,91.360686
27.090879,100,91.460616
28.813292,100,91.557549
24.058966,100,91.653481
28.868457,100,91.751413
27.730934,100,91.849343
25.163224,100,91.949272
23.091371,100,92.045206
27.966275,100,92.142138
28.0299,100,92.239069
25.915045,100,92.339997
26.151405,100,92.436929
28.462357,100,92.535861
26.969295,100,92.63479
27.086355,100,92.731721
21.646945,100,92.828654
29.470243,100,94.337592
26.407915,100,94.437521
28.127337,100,94.535452
28.060448,100,94.633384
30.0796,100,94.730314
28.745665,100,94.828245
30.457792,100,94.929175
27.295521,100,95.026106
27.961002,100,95.124048
29.382207,100,95.224967
28.166784,100,95.321898
30.683775,100,95.419831
25.097357,100,95.516762
30.183098,100,95.613693
31.887823,100,95.709625
29.457907,100,95.808556
29.142815,100,95.906486
31.128231,100,96.002421
30.84492,100,96.10035
31.55042,100,96.199281
27.52668,100,96.295212
27.077003,100,97.799155
29.876643,100,97.900101
26.818932,100,97.998014
35.540579,100,98.094948
31.786425,100,98.193878
35.400467,100,98.292808
30.756109,100,98.392736
32.199112,100,98.490692
31.080966,100,98.590597
27.782486,100,98.689528
29.359737,100,98.787459
30.124087,100,98.887388
35.296627,100,98.985319
28.817494,100,99.08425
28.358211,100,99.189177
33.426856,100,99.291104
27.60983,100,99.389036
32.299204,100,99.485968
28.384885,100,99.5819
34.842715,100,99.678832
31.804686,100,101.181777
30.081144,100,101.280706
36.867411,100,101.377635
32.394286,100,101.473568
36.583212,100,101.570501
35.343305,100,101.667432
31.859902,100,101.763364
34.203466,100,101.859298
33.198198,100,101.957228
32.706078,100,102.05416
33.648755,100,102.150091
32.825487,100,102.247035
29.89108,100,102.343955
32.38082,100,102.440888
32.240879,100,102.53782
32.919082,100,102.63475
31.512125,100,102.731683
35.62287,100,102.829615
30.367401,100,102.927543
33.85566,100,103.024477
30.547692,100,103.120409
39.472433,100,104.621352
34.106333,100,104.719284
33.614584,100,104.817214
38.881599,100,104.915146
35.044884,100,105.012077
36.301015,100,105.10801
36.229816,100,105.203942
36.029205,100,105.301874
35.819085,100,105.397806
36.818083,100,105.494737
31.072502,100,105.591671
35.997248,100,105.687603
34.562453,100,105.784533
33.002197,100,105.881464
36.115766,100,105.978397
36.86096,100,106.07433
34.978931,100,106.172261
40.296705,100,106.268193
33.82758,100,106.365125
34.942721,100,106.462056
35.860013,100,107.964
36.442391,100,108.060931
38.742681,100,108.159862
39.700669,100,108.256794
37.523954,100,108.353725
38.578037,100,108.450656
37.428409,100,108.546588
40.956017,100,108.64352
40.849078,100,108.741453
39.642198,100,108.838384
36.448669,100,108.937315
40.393209,100,109.034245
37.46886,100,109.130179
36.059524,100,109.22711
35.683099,100,109.325041
35.665537,100,109.420974
38.463132,100,109.518904
39.839181,100,109.615837
39.090726,100,109.71277
35.416918,100,109.809699
37.42292,100,109.907631
35.705454,100,111.406586
38.655846,100,111.505507
36.329081,100,111.604436
38.195547,100,111.701368
41.876252,100,111.798301
40.234706,100,111.895231
38.005302,100,111.993163
39.558718,100,112.090096
40.137074,100,112.186028
36.747483,100,112.283958
36.23648,100,112.37989
34.980349,100,112.475822
38.855137,100,112.572754
43.796579,100,112.669687
34.977429,100,112.76562
41.487493,100,112.861553
40.02474,100,112.958496
37.588411,100,113.054416
35.898126,100,113.150347
37.266288,100,113.24628
39.580218,100,114.751221
42.341716,100,114.851152
37.544359,100,114.95208
38.579754,100,115.050012
42.42475,100,115.147943
42.216991,100,115.246873
42.958575,100,115.344803
41.616264,100,115.443733
42.15603,100,115.54966
38.132492,100,115.721537
39.646049,100,115.83446
40.882369,100,115.937386
39.621502,100,116.039314
43.096221,100,116.139244
40.772249,100,116.236175
38.45965,100,116.339104
40.04741,100,116.436036
41.108281,100,116.532978
44.462323,100,116.630898
40.498584,100,116.728829
45.337188,100,116.825762
43.287965,100,118.329717
45.440717,100,118.427634
42.607873,100,118.523567
41.153625,100,118.620497
40.903776,100,118.71843
43.895207,100,118.814362
43.983259,100,118.913292
41.311081,100,119.010224
44.815607,100,119.109153
46.260108,100,119.206086
42.784822,100,119.303019
42.733699,100,119.400959
42.736424,100,119.49788
44.299599,100,119.595811
44.77415,100,119.692744
42.450274,100,119.791673
42.439955,100,119.890615
40.698634,100,119.988541
43.39903,100,120.087465
40.744207,100,120.187394
43.002518,100,121.719317
43.110903,100,121.820244
40.945542,100,121.920175
44.912718,100,122.019106
44.504617,100,122.118035
46.922044,100,122.215969
43.755646,100,122.314898
44.869628,100,122.411828
43.53754,100,122.509763
43.756926,100,122.607692
46.170219,100,122.704623
44.736612,100,122.804552
48.335548,100,122.903482
44.860496,100,123.000414
42.096524,100,123.098345
43.644736,100,123.194277
43.762477,100,123.292209
46.111979,100,123.390139
44.674933,100,123.488071
43.903632,100,123.585002
44.95825,100,123.683933
47.121078,100,125.203864
45.993076,100,125.300796
42.737592,100,125.401725
46.200049,100,125.500653
45.362382,100,125.598586
43.67222,100,125.702511
45.423922,100,125.801442
43.654838,100,125.901211
46.239519,100,125.998142
42.710912,100,126.096074
46.621196,100,126.194005
45.249747,100,126.290937
44.017959,100,126.387432
44.725186,100,126.484364
43.902303,100,126.581296
47.297795,100,126.678227
46.328734,100,126.77616
45.62659,100,126.874089
46.975852,100,126.97402
47.440287,100,127.071954
46.233753,100,128.594445
48.224534,100,128.693388
49.447964,100,128.794304
45.479393,100,128.892236
51.730391,100,128.992165
49.615422,100,129.090095
47.59315,100,129.189026
50.898279,100,129.288956
41.051837,100,129.385888
46.788139,100,129.486817
49.988635,100,129.584748
48.063198,100,129.681679
48.563085,100,129.779613
48.814305,100,129.876541
49.546875,100,129.975472
47.25209,100,130.073419
45.118813,100,130.170335
