# {"t_start": 1546857630.5430043, "env_id": "OneShotGo-v0"} 
r,l,t
64.51739,100,93.095542
64.963373,100,93.195472
63.741521,100,93.293403
64.612188,100,93.393331
63.951062,100,93.492263
64.273192,100,93.591193
63.946814,100,93.691123
64.801354,100,93.823031
63.929406,100,93.940946
63.134688,100,94.038877
64.719175,100,94.137808
63.125947,100,94.236738
63.620437,100,95.801637
63.875716,100,95.900568
63.030963,100,96.000496
64.403078,100,96.099427
64.150077,100,96.199357
63.286242,100,96.299286
64.435211,100,96.398217
62.184057,100,96.499147
62.688704,100,96.598078
63.145768,100,96.696007
63.877193,100,96.795937
64.283472,100,96.894868
64.801354,100,96.993798
64.191013,100,97.092729
63.867344,100,97.195655
64.403078,100,97.295586
65.045552,100,97.395516
64.446291,100,97.494446
64.811634,100,97.591377
63.600062,100,97.68831
63.559434,100,97.78724
64.801354,100,99.317163
64.801354,100,99.416092
62.104217,100,99.515023
63.257679,100,99.612954
63.230409,100,99.709887
64.493998,100,99.809815
64.474977,100,99.909744
62.816251,100,100.009678
63.626839,100,100.108605
63.195876,100,100.206546
64.612188,100,100.304479
65.127732,100,100.402397
64.52847,100,100.50033
64.677581,100,100.59826
64.394275,100,100.696192
64.285811,100,100.795123
63.398461,100,100.893054
64.1486,100,100.990983
63.621914,100,101.088916
63.621914,100,101.186846
63.476947,100,102.75774
64.536781,100,102.857671
64.066421,100,102.9566
64.801354,100,103.055532
64.599569,100,103.153463
64.881194,100,103.252393
63.570945,100,103.350323
64.719175,100,103.448255
64.202093,100,103.545186
63.497322,100,103.643118
63.103909,100,103.743047
64.501385,100,103.841977
64.454601,100,103.939908
64.801354,100,104.036838
64.1486,100,104.133772
63.538258,100,104.232702
65.127732,100,104.330634
64.202093,100,104.427564
65.127732,100,104.525496
63.660819,100,104.642414
64.636996,100,104.742342
64.599569,100,106.265272
64.128224,100,106.364203
64.191013,100,106.463131
64.203632,100,106.561063
63.752601,100,106.658995
63.426224,100,106.756926
64.51739,100,106.856864
64.150077,100,106.954785
64.612188,100,107.052718
64.392798,100,107.151648
63.84426,100,107.253575
65.127732,100,107.358501
62.927732,100,107.456433
64.801354,100,107.554363
64.51739,100,107.651294
63.621914,100,107.749227
65.045552,100,107.847157
64.285811,100,107.945088
63.867344,100,108.041021
64.273192,100,108.138953
64.285811,100,109.64889
65.127732,100,109.749819
64.150077,100,109.850748
63.522191,100,109.948678
65.045552,100,110.04561
64.310619,100,110.142541
64.270853,100,110.242473
63.620437,100,110.3434
64.719175,100,110.443331
64.554817,100,110.541262
64.067898,100,110.639192
63.83478,100,110.737124
65.127732,100,110.835054
63.011573,100,110.932984
64.067898,100,111.029918
64.1486,100,111.127846
64.476454,100,111.226778
63.855956,100,111.326709
64.392798,100,111.428636
63.544783,100,111.529564
64.150077,100,111.633493
63.656448,100,113.219375
64.372422,100,113.324301
64.405355,100,113.42723
64.128224,100,113.531156
64.392798,100,113.641079
64.476454,100,113.745007
63.407818,100,113.844935
61.845553,100,113.942866
64.636996,100,114.039798
63.557649,100,114.138728
63.617747,100,114.239658
63.195322,100,114.338588
63.557649,100,114.437519
64.164358,100,114.535449
64.419206,100,114.635378
64.1486,100,114.734308
65.127732,100,114.833239
62.888766,100,114.931171
63.559434,100,115.029104
65.045552,100,115.126034
64.801354,100,116.635972
63.245306,100,116.736899
64.008618,100,116.83583
64.487535,100,116.932762
64.474977,100,117.030693
63.9486,100,117.127626
63.67393,100,117.226556
64.191013,100,117.324488
63.34903,100,117.422417
64.066421,100,117.520348
63.416621,100,117.618278
64.078978,100,117.716211
64.422284,100,117.815141
65.127732,100,117.911073
63.332779,100,118.009004
63.104832,100,118.105937
64.067898,100,118.203868
65.127732,100,118.301799
63.877193,100,118.398731
64.128224,100,118.495661
64.719175,100,118.593593
64.75976,100,120.124516
64.921779,100,120.224445
63.339797,100,120.326371
