# {"t_start": 1546863216.6860743, "env_id": "OneShotGo-v0"} 
r,l,t
61.051611,100,2116.858505
61.942933,100,2121.925158
61.221304,100,2127.029868
61.227865,100,2132.105024
61.261654,100,2137.209651
61.049551,100,2142.518488
60.706194,100,2149.088198
61.575378,100,2154.135561
61.929817,100,2159.317064
61.338762,100,2164.408742
61.393659,100,2169.515819
62.056708,100,2174.613608
61.031468,100,2179.692708
61.53663,100,2184.777893
61.829159,100,2189.843707
61.41085,100,2194.999045
60.849732,100,2200.14865
61.334977,100,2205.212952
60.557532,100,2210.342115
61.816043,100,2215.441586
61.702269,100,2220.523518
62.056708,100,2225.620699
60.693234,100,2230.702751
61.575378,100,2235.767806
61.942933,100,2240.850522
60.44603,100,2245.903491
61.14875,100,2251.022237
60.738121,100,2257.510175
61.702269,100,2262.549486
61.438416,100,2267.633444
60.94397,100,2272.804022
59.834389,100,2277.86995
61.942933,100,2282.932562
61.472118,100,2288.006115
61.702269,100,2293.117304
59.912062,100,2298.191995
61.194267,100,2303.262722
60.602209,100,2308.352904
60.809035,100,2313.670081
61.333644,100,2318.945857
61.106115,100,2324.454994
61.942933,100,2330.226712
61.702269,100,2335.439697
60.867021,100,2340.476595
61.84734,100,2345.593647
61.962391,100,2350.653512
61.829159,100,2355.711983
61.438416,100,2362.193435
61.437327,100,2367.279913
60.413891,100,2372.332935
61.184919,100,2377.410257
61.448487,100,2382.506709
60.692489,100,2387.59801
60.833182,100,2392.724526
61.332574,100,2397.840494
60.512062,100,2402.886946
61.154176,100,2407.947125
61.702269,100,2413.051421
61.702269,100,2418.145722
61.676036,100,2423.258598
61.593559,100,2428.359315
60.986327,100,2433.412421
61.325309,100,2438.468342
60.934492,100,2443.552397
61.325076,100,2448.64899
60.71039,100,2453.743959
60.030963,100,2458.810193
61.942933,100,2463.88068
60.614714,100,2470.501582
61.689152,100,2475.57214
60.614714,100,2480.647238
61.829159,100,2485.71305
61.702269,100,2490.74821
61.300316,100,2495.821457
61.092998,100,2500.987657
60.474951,100,2506.126388
61.283098,100,2511.374049
61.702269,100,2516.463957
61.594291,100,2521.529506
60.98446,100,2526.774345
61.079415,100,2532.224337
61.702269,100,2537.653216
60.630046,100,2543.012672
61.733566,100,2548.194201
60.864763,100,2553.346615
61.829159,100,2558.532537
61.574299,100,2563.702047
60.830196,100,2568.857092
60.404776,100,2575.444017
61.816043,100,2580.523951
61.942933,100,2585.651857
61.483033,100,2590.724891
61.829159,100,2595.806338
60.979224,100,2600.893717
61.448487,100,2605.960809
60.947823,100,2611.008936
61.233005,100,2616.509413
61.869838,100,2622.977188
61.669903,100,2628.501607
61.4585,100,2634.248979
61.68567,100,2640.187393
61.816043,100,2645.765018
59.769342,100,2651.104439
61.829159,100,2656.412828
60.95752,100,2661.852594
61.816043,100,2667.209671
61.585893,100,2672.366237
60.957086,100,2677.591286
61.232206,100,2683.007651
61.147013,100,2689.735215
61.542683,100,2695.126467
61.942933,100,2700.372656
60.893643,100,2705.669256
61.725271,100,2710.975229
62.043591,100,2716.247305
61.702269,100,2721.511924
61.34678,100,2726.749013
60.589092,100,2731.992747
61.575378,100,2737.393818
61.083977,100,2742.69181
61.829159,100,2748.196811
61.702269,100,2753.385634
62.169393,100,2758.533548
61.942933,100,2763.619535
59.814391,100,2768.702534
61.829159,100,2773.817329
61.113637,100,2778.911869
61.326114,100,2784.113498
61.702269,100,2789.609418
61.942933,100,2796.459753
61.290728,100,2801.78536
61.334274,100,2807.194128
60.113307,100,2812.454063
61.829159,100,2817.701618
61.829159,100,2822.949068
61.634324,100,2828.238142
61.816043,100,2833.533082
60.967601,100,2838.756336
61.32186,100,2843.961506
61.435976,100,2849.153415
61.445863,100,2854.255998
61.429238,100,2859.457855
61.829159,100,2864.679823
61.829159,100,2870.067181
60.010912,100,2875.306184
60.830479,100,2880.602934
61.829159,100,2886.096204
61.210868,100,2891.320564
61.455335,100,2896.454954
61.159073,100,2902.960652
60.650235,100,2908.047485
61.829159,100,2913.254226
61.816043,100,2918.364551
61.942933,100,2923.672291
61.816043,100,2928.902767
60.753119,100,2934.025019
61.324642,100,2939.346983
61.929817,100,2945.068703
60.660224,100,2950.80416
61.829159,100,2955.936883
61.829159,100,2961.073503
61.829159,100,2966.206891
61.056458,100,2971.317688
61.08545,100,2976.414079
61.2205,100,2981.502593
61.829159,100,2986.712275
61.40974,100,2991.825684
61.333841,100,2996.92074
61.829159,100,3002.052742
61.816043,100,3007.207756
61.073749,100,3013.830642
60.851255,100,3019.025605
61.714688,100,3024.133102
61.211082,100,3029.200037
61.106115,100,3034.354526
61.032094,100,3039.501114
61.816043,100,3044.64629
61.816043,100,3049.815382
61.829159,100,3054.929902
60.57946,100,3060.079026
61.702269,100,3065.515014
60.00325,100,3071.252641
61.829159,100,3076.660026
61.702269,100,3081.968773
61.702269,100,3087.276919
61.942933,100,3092.801965
61.669903,100,3098.095618
60.726936,100,3103.450717
61.603054,100,3108.854534
61.829159,100,3114.192005
61.942933,100,3120.916549
61.324642,100,3126.287195
61.702269,100,3131.539742
61.234921,100,3136.947317
61.942933,100,3142.788357
60.764326,100,3148.243248
61.083977,100,3153.543254
61.829159,100,3159.336244
61.699039,100,3164.850447
61.656457,100,3170.008744
61.702269,100,3175.177556
59.889214,100,3180.43649
61.497366,100,3185.616965
61.531872,100,3191.337095
61.816043,100,3196.469964
61.575378,100,3201.95575
61.210868,100,3207.222775
61.816043,100,3212.660744
60.8815,100,3218.09087
60.863791,100,3223.552099
61.816043,100,3228.911838
61.942933,100,3235.496148
61.942933,100,3240.656066
61.942933,100,3246.204355
60.988438,100,3252.109764
61.210868,100,3258.78757
61.575378,100,3264.283191
61.570363,100,3269.355644
60.862848,100,3274.43227
61.329455,100,3279.483585
61.829159,100,3284.550638
61.34678,100,3289.627205
61.829159,100,3294.685207
60.363084,100,3300.022604
61.829159,100,3305.091485
61.308744,100,3310.166191
60.465685,100,3315.238182
61.556129,100,3320.293238
61.256701,100,3325.465812
61.702269,100,3330.704811
61.829159,100,3335.809138
61.816043,100,3342.288496
61.435371,100,3347.383771
61.21909,100,3352.49042
60.978467,100,3357.643629
61.396623,100,3362.754005
61.836026,100,3367.854052
61.416122,100,3372.959315
61.829159,100,3378.013052
60.531678,100,3383.09938
61.162735,100,3388.21832
60.65427,100,3393.35071
61.32186,100,3398.518861
61.091423,100,3403.582347
61.702269,100,3408.71203
61.429102,100,3413.827179
61.429238,100,3418.874233
61.702269,100,3423.955555
61.812352,100,3429.121167
59.634144,100,3434.204989
62.284256,100,3439.315019
61.539074,100,3444.479071
61.829159,100,3450.997721
61.290728,100,3456.128338
60.341683,100,3461.196246
61.587839,100,3466.237516
62.056708,100,3471.334316
61.829159,100,3476.49475
61.210868,100,3481.590988
60.935303,100,3486.873343
61.407596,100,3492.145022
60.958497,100,3497.827429
61.120681,100,3503.93291
60.979224,100,3509.14175
60.588481,100,3514.498251
61.177608,100,3519.682513
61.70276,100,3524.846272
62.056708,100,3530.052792
60.738823,100,3535.149163
61.702269,100,3540.243029
61.829159,100,3545.822705
60.481728,100,3550.920627
61.100773,100,3557.574672
60.749074,100,3563.054895
61.702269,100,3568.874642
61.352894,100,3574.20874
61.442219,100,3579.312527
60.602875,100,3584.419384
61.083977,100,3589.491513
61.05507,100,3594.616554
60.420967,100,3599.737701
60.497925,100,3604.871231
61.592981,100,3610.006872
61.702269,100,3615.406228
60.862346,100,3620.546694
60.790454,100,3625.683535
61.082959,100,3630.892478
61.962917,100,3636.389264
61.702269,100,3642.176103
61.686049,100,3648.034189
61.152076,100,3653.883832
60.840113,100,3659.279668
61.429238,100,3664.968913
61.4585,100,3672.104628
61.175457,100,3677.506897
61.092998,100,3682.77361
61.816043,100,3688.231904
61.220358,100,3693.649587
60.834095,100,3698.796607
61.304498,100,3704.100656
61.359715,100,3709.403331
61.204242,100,3714.661792
61.689152,100,3719.878317
61.277276,100,3725.287158
61.429238,100,3730.64796
60.977233,100,3736.315513
59.873058,100,3741.829342
60.957086,100,3747.317727
61.218337,100,3752.835844
61.445698,100,3758.182161
61.575378,100,3763.351066
59.854424,100,3768.70704
62.157366,100,3773.792283
60.853827,100,3780.579902
61.461867,100,3785.846628
60.8374,100,3791.46763
61.135656,100,3797.054058
61.942933,100,3802.694729
60.891547,100,3808.297683
61.942933,100,3813.624021
61.120628,100,3818.933047
61.34678,100,3824.714745
61.608973,100,3830.508555
61.302347,100,3836.005827
61.484606,100,3841.181434
